lat,lon,date,weather,temperature,humidity,apparent_temp,precip_prob,summary,precip_mm,precip_tipo
36.5271,-6.2886,2026-03-22T00:00:00.000000,overcast,14.6,79,11.3,3,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T01:00:00.000000,overcast,14.6,78,11.1,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T02:00:00.000000,overcast,14.4,77,11.0,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T03:00:00.000000,overcast,14.3,76,10.9,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T04:00:00.000000,overcast,14.5,76,11.3,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T05:00:00.000000,overcast,14.4,76,11.7,5,Overcast,0.1,rain
36.5271,-6.2886,2026-03-22T06:00:00.000000,overcast,14.4,76,11.7,3,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T07:00:00.000000,overcast,14.2,77,11.5,13,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T08:00:00.000000,overcast,14.0,78,11.6,15,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T09:00:00.000000,overcast,14.0,78,12.0,8,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T10:00:00.000000,overcast,14.6,74,12.6,3,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T11:00:00.000000,overcast,15.3,72,13.3,3,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T12:00:00.000000,overcast,16.2,69,13.9,5,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T13:00:00.000000,overcast,16.7,65,13.9,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T14:00:00.000000,overcast,16.9,66,14.8,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T15:00:00.000000,overcast,17.3,65,15.8,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T16:00:00.000000,overcast,17.5,62,15.8,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-22T17:00:00.000000,partly_sunny,17.6,61,15.5,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-22T18:00:00.000000,sunny,17.5,62,15.4,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-22T19:00:00.000000,partly_sunny,16.9,64,14.6,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-22T20:00:00.000000,partly_sunny,16.1,69,14.2,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-22T21:00:00.000000,partly_sunny,15.3,73,13.8,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-22T22:00:00.000000,partly_sunny,14.8,77,13.4,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-22T23:00:00.000000,sunny,14.4,79,12.9,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-23T00:00:00.000000,sunny,14.2,80,12.9,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-23T01:00:00.000000,partly_sunny,14.2,80,13.0,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-23T02:00:00.000000,partly_sunny,14.2,80,12.9,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-23T03:00:00.000000,partly_sunny,14.3,78,13.0,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-23T04:00:00.000000,partly_sunny,14.2,77,13.1,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-23T05:00:00.000000,partly_sunny,14.1,78,13.1,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-23T06:00:00.000000,partly_sunny,14.0,78,12.9,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-23T07:00:00.000000,partly_sunny,13.9,79,12.6,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-23T08:00:00.000000,sunny,13.8,81,12.7,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-23T09:00:00.000000,sunny,13.8,82,13.1,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-23T10:00:00.000000,sunny,14.4,80,13.8,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-23T11:00:00.000000,sunny,15.2,77,15.1,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-23T12:00:00.000000,sunny,16.1,73,17.5,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-23T13:00:00.000000,sunny,16.6,72,18.0,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-23T14:00:00.000000,partly_sunny,16.5,73,17.4,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-23T15:00:00.000000,sunny,16.4,74,17.0,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-23T16:00:00.000000,sunny,16.4,77,16.8,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-23T17:00:00.000000,partly_sunny,16.4,84,16.3,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-23T18:00:00.000000,overcast,16.3,85,16.5,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-23T19:00:00.000000,overcast,16.4,83,17.4,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-23T20:00:00.000000,overcast,16.5,82,16.6,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-23T21:00:00.000000,overcast,16.6,65,13.6,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-23T22:00:00.000000,partly_sunny,15.4,72,11.4,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-23T23:00:00.000000,partly_sunny,15.0,75,10.7,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T00:00:00.000000,partly_sunny,14.9,77,10.4,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T01:00:00.000000,partly_sunny,14.8,77,10.5,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T02:00:00.000000,partly_sunny,14.9,74,10.1,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T03:00:00.000000,partly_sunny,14.8,73,10.3,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T04:00:00.000000,partly_sunny,14.8,74,10.5,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T05:00:00.000000,partly_sunny,14.6,75,10.5,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T06:00:00.000000,partly_sunny,14.6,77,11.1,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T07:00:00.000000,overcast,14.5,77,11.1,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-24T08:00:00.000000,partly_sunny,14.4,75,11.2,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T09:00:00.000000,partly_sunny,14.7,74,11.4,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T10:00:00.000000,partly_sunny,15.6,71,11.7,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T11:00:00.000000,partly_sunny,16.2,64,11.2,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T12:00:00.000000,partly_sunny,16.6,62,12.3,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T13:00:00.000000,partly_sunny,16.9,59,12.7,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-24T14:00:00.000000,sunny,17.3,57,13.3,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-24T15:00:00.000000,sunny,17.4,55,13.4,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-24T16:00:00.000000,sunny,17.5,55,13.2,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-24T17:00:00.000000,sunny,17.4,55,12.5,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-24T18:00:00.000000,sunny,16.9,58,11.9,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-24T19:00:00.000000,sunny,16.2,63,11.5,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-24T20:00:00.000000,sunny,15.3,67,10.7,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-24T21:00:00.000000,sunny,14.9,69,10.1,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-24T22:00:00.000000,sunny,14.8,69,10.3,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-24T23:00:00.000000,sunny,14.5,70,10.6,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T00:00:00.000000,sunny,14.4,71,10.8,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T01:00:00.000000,sunny,14.2,70,10.7,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T02:00:00.000000,sunny,14.1,70,11.0,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T03:00:00.000000,sunny,13.9,69,11.2,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T04:00:00.000000,sunny,13.9,65,11.3,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T05:00:00.000000,sunny,14.1,64,11.6,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T06:00:00.000000,sunny,14.1,65,11.8,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T07:00:00.000000,sunny,13.9,65,11.6,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T08:00:00.000000,sunny,13.7,67,11.9,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T09:00:00.000000,sunny,13.9,65,11.9,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T10:00:00.000000,sunny,14.6,59,12.2,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T11:00:00.000000,sunny,15.6,59,12.9,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T12:00:00.000000,sunny,16.6,56,14.5,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T13:00:00.000000,sunny,17.5,53,16.1,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T14:00:00.000000,sunny,18.0,50,17.2,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T15:00:00.000000,sunny,18.3,47,17.7,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T16:00:00.000000,sunny,18.4,46,17.7,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T17:00:00.000000,partly_sunny,18.2,48,16.9,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-25T18:00:00.000000,partly_sunny,17.7,52,16.4,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-25T19:00:00.000000,partly_sunny,17.2,55,16.1,0,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-25T20:00:00.000000,sunny,16.7,57,15.5,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T21:00:00.000000,sunny,16.2,57,14.7,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T22:00:00.000000,sunny,15.8,57,14.1,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-25T23:00:00.000000,overcast,15.5,55,13.5,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T00:00:00.000000,overcast,15.2,51,12.9,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T01:00:00.000000,overcast,15.1,49,12.6,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T02:00:00.000000,overcast,15.1,50,12.7,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T03:00:00.000000,overcast,15.1,52,12.7,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T04:00:00.000000,overcast,15.1,55,12.7,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T05:00:00.000000,overcast,14.9,59,12.7,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T06:00:00.000000,overcast,14.7,63,12.8,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T07:00:00.000000,overcast,14.6,66,13.0,0,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T08:00:00.000000,sunny,14.6,68,13.1,0,Sunny,0.0,none
36.5271,-6.2886,2026-03-26T09:00:00.000000,sunny,14.7,69,13.4,1,Sunny,0.0,none
36.5271,-6.2886,2026-03-26T10:00:00.000000,sunny,15.2,68,13.9,1,Sunny,0.0,none
36.5271,-6.2886,2026-03-26T11:00:00.000000,partly_sunny,16.3,65,15.3,2,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-26T12:00:00.000000,partly_sunny,17.7,59,17.8,3,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-26T13:00:00.000000,partly_sunny,18.9,54,19.5,3,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-26T14:00:00.000000,overcast,19.5,47,18.8,3,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T15:00:00.000000,overcast,19.7,40,16.6,4,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T16:00:00.000000,overcast,19.7,37,14.6,4,Overcast,0.0,none
36.5271,-6.2886,2026-03-26T17:00:00.000000,partly_sunny,19.2,39,13.2,5,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-26T18:00:00.000000,partly_sunny,18.3,45,12.5,5,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-26T19:00:00.000000,partly_sunny,17.5,51,12.1,5,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-26T20:00:00.000000,sunny,16.8,55,11.5,5,Sunny,0.0,none
36.5271,-6.2886,2026-03-26T21:00:00.000000,sunny,16.0,59,11.0,5,Sunny,0.0,none
36.5271,-6.2886,2026-03-26T22:00:00.000000,sunny,15.4,62,10.8,4,Sunny,0.0,none
36.5271,-6.2886,2026-03-26T23:00:00.000000,sunny,15.1,63,10.9,4,Sunny,0.0,none
36.5271,-6.2886,2026-03-27T00:00:00.000000,sunny,15.0,64,11.2,3,Sunny,0.0,none
36.5271,-6.2886,2026-03-27T01:00:00.000000,sunny,14.8,64,11.3,3,Sunny,0.0,none
36.5271,-6.2886,2026-03-27T02:00:00.000000,sunny,14.6,64,11.2,3,Sunny,0.0,none
36.5271,-6.2886,2026-03-27T03:00:00.000000,sunny,14.5,63,11.0,2,Sunny,0.0,none
36.5271,-6.2886,2026-03-27T04:00:00.000000,sunny,14.4,63,11.1,1,Sunny,0.0,none
36.5271,-6.2886,2026-03-27T05:00:00.000000,sunny,14.3,64,11.7,2,Sunny,0.0,none
36.5271,-6.2886,2026-03-27T06:00:00.000000,sunny,14.0,68,12.3,2,Sunny,0.0,none
36.5271,-6.2886,2026-03-27T07:00:00.000000,sunny,13.8,72,12.5,2,Sunny,0.0,none
36.5271,-6.2886,2026-03-27T08:00:00.000000,partly_sunny,14.3,81,12.8,3,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-27T09:00:00.000000,partly_sunny,14.7,78,13.2,3,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-27T10:00:00.000000,partly_sunny,15.2,74,13.7,3,Partly sunny,0.0,none
36.5271,-6.2886,2026-03-27T11:00:00.000000,overcast,16.3,69,14.8,3,Overcast,0.0,none
36.5271,-6.2886,2026-03-27T12:00:00.000000,overcast,17.5,63,16.7,3,Overcast,0.0,none
36.5271,-6.2886,2026-03-27T13:00:00.000000,overcast,18.4,58,17.8,3,Overcast,0.0,none
36.5271,-6.2886,2026-03-27T14:00:00.000000,overcast,18.7,57,17.8,3,Overcast,0.0,none
