lat,lon,date,weather,temperature,humidity,apparent_temp,precip_prob,summary,precip_mm,precip_tipo
37.8882,-4.7794,2026-03-22T00:00:00.000000,overcast,13.4,81,12.9,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T01:00:00.000000,overcast,13.2,83,12.7,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T02:00:00.000000,overcast,12.9,80,12.3,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T03:00:00.000000,overcast,12.4,81,11.8,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T04:00:00.000000,overcast,12.5,81,11.9,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T05:00:00.000000,overcast,12.7,80,12.1,5,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T06:00:00.000000,overcast,12.9,77,12.2,8,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T07:00:00.000000,overcast,13.0,76,12.4,8,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T08:00:00.000000,overcast,13.0,77,12.5,10,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T09:00:00.000000,overcast,13.6,77,13.4,3,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T10:00:00.000000,overcast,15.2,64,14.5,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T11:00:00.000000,overcast,16.0,63,15.5,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T12:00:00.000000,overcast,16.9,62,16.3,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T13:00:00.000000,overcast,17.8,61,17.0,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T14:00:00.000000,overcast,18.8,55,18.7,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T15:00:00.000000,overcast,19.5,52,19.3,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T16:00:00.000000,partly_sunny,20.0,50,19.0,0,Partly sunny,0.0,none
37.8882,-4.7794,2026-03-22T17:00:00.000000,partly_sunny,20.0,51,19.0,0,Partly sunny,0.0,none
37.8882,-4.7794,2026-03-22T18:00:00.000000,overcast,19.6,51,18.7,0,Overcast,0.0,none
37.8882,-4.7794,2026-03-22T19:00:00.000000,partly_sunny,19.0,54,18.5,0,Partly sunny,0.0,none
