lat,lon,date,weather,temperature,humidity,apparent_temp,precip_prob,summary,precip_mm,precip_tipo
37.1773,-3.5986,2026-03-22T00:00:00.000000,overcast,10.8,82,9.4,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T01:00:00.000000,overcast,10.7,81,9.5,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T02:00:00.000000,overcast,10.6,82,9.7,3,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T03:00:00.000000,overcast,10.5,83,9.8,5,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T04:00:00.000000,overcast,10.6,82,9.8,3,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T05:00:00.000000,overcast,10.5,83,9.9,10,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T06:00:00.000000,overcast,10.5,82,9.6,25,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T07:00:00.000000,overcast,10.4,83,9.7,28,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T08:00:00.000000,overcast,10.3,83,9.4,18,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T09:00:00.000000,overcast,10.6,83,9.5,8,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T10:00:00.000000,overcast,11.6,79,10.6,3,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T11:00:00.000000,overcast,12.7,72,11.6,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T12:00:00.000000,overcast,14.1,65,12.8,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T13:00:00.000000,overcast,15.0,59,13.3,8,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T14:00:00.000000,overcast,15.2,59,13.0,8,Overcast,0.0,none
37.1773,-3.5986,2026-03-22T15:00:00.000000,overcast,14.3,65,12.4,8,Overcast,0.1,rain
37.1773,-3.5986,2026-03-22T16:00:00.000000,overcast,14.0,68,12.4,23,Overcast,0.1,rain
37.1773,-3.5986,2026-03-22T17:00:00.000000,thunderstorm,13.2,83,12.4,28,Thunderstorm,1.2,rain
37.1773,-3.5986,2026-03-22T18:00:00.000000,overcast,13.4,78,13.2,10,Overcast,0.4,rain
37.1773,-3.5986,2026-03-22T19:00:00.000000,partly_sunny,13.3,77,13.1,3,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-22T20:00:00.000000,partly_sunny,12.7,78,12.2,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-22T21:00:00.000000,partly_sunny,11.7,84,11.1,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-22T22:00:00.000000,partly_sunny,10.4,92,9.5,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-22T23:00:00.000000,partly_sunny,9.6,94,8.4,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-23T00:00:00.000000,partly_sunny,8.9,93,7.6,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-23T01:00:00.000000,partly_sunny,8.3,93,6.8,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-23T02:00:00.000000,partly_sunny,7.6,93,6.0,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-23T03:00:00.000000,partly_sunny,7.1,93,5.4,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-23T04:00:00.000000,fog,6.6,94,4.8,0,Fog,0.0,none
37.1773,-3.5986,2026-03-23T05:00:00.000000,fog,6.3,94,4.5,0,Fog,0.0,none
37.1773,-3.5986,2026-03-23T06:00:00.000000,partly_sunny,6.2,93,4.5,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-23T07:00:00.000000,partly_sunny,6.0,93,4.2,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-23T08:00:00.000000,partly_sunny,6.1,93,4.4,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-23T09:00:00.000000,overcast,8.4,93,7.5,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T10:00:00.000000,overcast,10.2,88,9.2,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T11:00:00.000000,overcast,12.4,80,11.6,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T12:00:00.000000,overcast,14.5,68,14.2,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T13:00:00.000000,overcast,16.4,57,16.0,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T14:00:00.000000,overcast,17.4,50,16.6,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T15:00:00.000000,overcast,18.0,47,16.8,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T16:00:00.000000,overcast,18.5,44,16.5,3,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T17:00:00.000000,overcast,17.5,49,14.7,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T18:00:00.000000,overcast,16.4,51,13.3,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T19:00:00.000000,partly_sunny,15.1,58,12.7,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-23T20:00:00.000000,overcast,13.6,66,12.4,3,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T21:00:00.000000,overcast,12.6,71,11.5,5,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T22:00:00.000000,overcast,12.1,74,10.8,15,Overcast,0.0,none
37.1773,-3.5986,2026-03-23T23:00:00.000000,overcast,11.7,76,10.9,18,Overcast,0.0,none
37.1773,-3.5986,2026-03-24T00:00:00.000000,overcast,11.4,77,10.4,18,Overcast,0.0,none
37.1773,-3.5986,2026-03-24T01:00:00.000000,partly_sunny,10.6,82,9.7,5,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-24T02:00:00.000000,overcast,9.7,88,8.7,0,Overcast,0.0,none
37.1773,-3.5986,2026-03-24T03:00:00.000000,overcast,9.3,90,8.3,5,Overcast,0.0,none
37.1773,-3.5986,2026-03-24T04:00:00.000000,overcast,9.3,89,8.2,5,Overcast,0.0,none
37.1773,-3.5986,2026-03-24T05:00:00.000000,overcast,9.2,88,8.0,13,Overcast,0.0,none
37.1773,-3.5986,2026-03-24T06:00:00.000000,overcast,9.1,85,7.9,5,Overcast,0.0,none
37.1773,-3.5986,2026-03-24T07:00:00.000000,partly_sunny,8.9,83,7.6,3,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-24T08:00:00.000000,partly_sunny,8.5,85,7.1,2,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-24T09:00:00.000000,partly_sunny,10.2,80,9.2,1,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-24T10:00:00.000000,sunny,11.9,67,10.3,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-24T11:00:00.000000,sunny,13.4,61,12.2,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-24T12:00:00.000000,sunny,14.9,55,14.3,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-24T13:00:00.000000,sunny,16.2,49,15.8,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-24T14:00:00.000000,partly_sunny,17.1,45,16.3,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-24T15:00:00.000000,partly_sunny,17.6,43,15.9,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-24T16:00:00.000000,partly_sunny,16.8,52,13.7,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-24T17:00:00.000000,partly_sunny,15.7,57,12.8,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-24T18:00:00.000000,sunny,14.9,61,12.5,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-24T19:00:00.000000,sunny,14.0,64,12.2,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-24T20:00:00.000000,partly_sunny,12.7,71,11.5,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-24T21:00:00.000000,partly_sunny,11.7,76,10.6,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-24T22:00:00.000000,partly_sunny,10.8,82,9.6,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-24T23:00:00.000000,partly_sunny,9.3,86,7.9,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-25T00:00:00.000000,partly_sunny,8.3,85,6.5,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-25T01:00:00.000000,partly_sunny,7.4,84,5.4,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-25T02:00:00.000000,partly_sunny,6.8,85,4.6,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-25T03:00:00.000000,partly_sunny,6.4,84,4.2,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-25T04:00:00.000000,partly_sunny,6.2,83,4.0,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-25T05:00:00.000000,partly_sunny,5.7,85,3.5,0,Partly sunny,0.0,none
37.1773,-3.5986,2026-03-25T06:00:00.000000,sunny,5.0,84,2.7,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-25T07:00:00.000000,sunny,4.6,79,2.0,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-25T08:00:00.000000,sunny,4.7,79,2.2,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-25T09:00:00.000000,sunny,7.3,77,5.6,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-25T10:00:00.000000,sunny,9.4,65,7.2,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-25T11:00:00.000000,sunny,11.9,51,10.3,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-25T12:00:00.000000,sunny,14.4,41,13.4,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-25T13:00:00.000000,sunny,16.5,37,16.1,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-25T14:00:00.000000,sunny,18.1,31,17.4,0,Sunny,0.0,none
37.1773,-3.5986,2026-03-25T15:00:00.000000,sunny,19.1,27,17.8,0,Sunny,0.0,none
