lat,lon,date,weather,temperature,humidity,apparent_temp,precip_prob,summary,precip_mm,precip_tipo
37.2614,-6.9447,2026-03-22T00:00:00.000000,rain_shower,14.4,91,15.1,48,Rain showers,0.5,rain
37.2614,-6.9447,2026-03-22T01:00:00.000000,rain_shower,14.5,86,15.2,38,Rain showers,0.4,rain
37.2614,-6.9447,2026-03-22T02:00:00.000000,overcast,14.2,87,14.7,15,Overcast,0.0,none
37.2614,-6.9447,2026-03-22T03:00:00.000000,overcast,14.1,87,14.5,13,Overcast,0.0,none
37.2614,-6.9447,2026-03-22T04:00:00.000000,overcast,14.1,88,14.6,15,Overcast,0.0,none
37.2614,-6.9447,2026-03-22T05:00:00.000000,overcast,13.8,91,14.2,15,Overcast,0.0,none
37.2614,-6.9447,2026-03-22T06:00:00.000000,overcast,13.7,92,14.2,13,Overcast,0.0,none
37.2614,-6.9447,2026-03-22T07:00:00.000000,partly_sunny,13.3,98,13.7,13,Partly sunny,0.0,none
37.2614,-6.9447,2026-03-22T08:00:00.000000,overcast,13.3,94,13.3,15,Overcast,0.0,none
37.2614,-6.9447,2026-03-22T09:00:00.000000,partly_sunny,14.0,91,14.0,3,Partly sunny,0.0,none
37.2614,-6.9447,2026-03-22T10:00:00.000000,overcast,15.2,86,15.3,0,Overcast,0.0,none
37.2614,-6.9447,2026-03-22T11:00:00.000000,overcast,16.5,76,16.3,0,Overcast,0.0,none
37.2614,-6.9447,2026-03-22T12:00:00.000000,overcast,17.6,63,16.9,3,Overcast,0.0,none
37.2614,-6.9447,2026-03-22T13:00:00.000000,overcast,18.1,62,17.8,13,Overcast,0.0,none
37.2614,-6.9447,2026-03-22T14:00:00.000000,overcast,18.1,65,18.0,23,Overcast,0.1,rain
37.2614,-6.9447,2026-03-22T15:00:00.000000,overcast,17.9,69,18.1,13,Overcast,0.2,rain
37.2614,-6.9447,2026-03-22T16:00:00.000000,partly_sunny,18.2,66,18.2,8,Partly sunny,0.0,none
37.2614,-6.9447,2026-03-22T17:00:00.000000,partly_sunny,18.3,66,18.3,3,Partly sunny,0.1,rain
37.2614,-6.9447,2026-03-22T18:00:00.000000,overcast,18.5,65,18.3,3,Overcast,0.0,none
37.2614,-6.9447,2026-03-22T19:00:00.000000,partly_sunny,18.2,69,17.9,0,Partly sunny,0.0,none
37.2614,-6.9447,2026-03-22T20:00:00.000000,partly_sunny,17.2,79,17.3,0,Partly sunny,0.0,none
37.2614,-6.9447,2026-03-22T21:00:00.000000,sunny,16.1,88,16.8,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-22T22:00:00.000000,sunny,15.4,90,16.1,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-22T23:00:00.000000,sunny,14.9,91,15.6,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T00:00:00.000000,sunny,14.4,91,15.0,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T01:00:00.000000,sunny,14.0,91,14.5,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T02:00:00.000000,sunny,13.6,91,14.0,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T03:00:00.000000,sunny,13.1,92,13.5,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T04:00:00.000000,sunny,12.5,95,12.8,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T05:00:00.000000,sunny,11.8,98,11.9,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T06:00:00.000000,fog,11.3,100,11.2,0,Fog,0.0,none
37.2614,-6.9447,2026-03-23T07:00:00.000000,partly_sunny,11.2,98,10.9,0,Partly sunny,0.0,none
37.2614,-6.9447,2026-03-23T08:00:00.000000,sunny,11.1,96,10.8,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T09:00:00.000000,sunny,12.3,91,12.1,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T10:00:00.000000,sunny,14.7,83,14.8,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T11:00:00.000000,sunny,16.9,75,17.3,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T12:00:00.000000,sunny,18.8,68,20.1,0,Sunny,0.0,none
37.2614,-6.9447,2026-03-23T13:00:00.000000,partly_sunny,20.2,63,22.3,0,Partly sunny,0.0,none
37.2614,-6.9447,2026-03-23T14:00:00.000000,overcast,21.2,56,23.0,0,Overcast,0.0,none
37.2614,-6.9447,2026-03-23T15:00:00.000000,partly_sunny,21.5,50,22.8,0,Partly sunny,0.0,none
37.2614,-6.9447,2026-03-23T16:00:00.000000,overcast,20.4,73,21.4,0,Overcast,0.0,none
37.2614,-6.9447,2026-03-23T17:00:00.000000,partly_sunny,20.8,67,20.9,0,Partly sunny,0.0,none
37.2614,-6.9447,2026-03-23T18:00:00.000000,sunny,20.2,62,19.9,0,Sunny,0.0,none
