lat,lon,date,weather,temperature,humidity,apparent_temp,precip_prob,summary,precip_mm,precip_tipo
37.7796,-3.7849,2026-03-22T00:00:00.000000,overcast,10.0,84,8.7,0,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T01:00:00.000000,overcast,9.7,83,8.4,3,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T02:00:00.000000,overcast,9.5,84,8.1,0,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T03:00:00.000000,overcast,9.6,84,8.3,0,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T04:00:00.000000,overcast,9.8,83,8.5,0,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T05:00:00.000000,overcast,9.9,83,8.6,3,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T06:00:00.000000,overcast,10.1,82,8.9,3,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T07:00:00.000000,overcast,10.1,82,9.1,3,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T08:00:00.000000,overcast,10.2,83,9.4,3,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T09:00:00.000000,overcast,10.9,82,10.2,3,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T10:00:00.000000,overcast,12.3,74,11.2,0,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T11:00:00.000000,overcast,13.1,68,11.7,0,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T12:00:00.000000,overcast,14.0,65,12.4,3,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T13:00:00.000000,overcast,15.0,60,13.2,25,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T14:00:00.000000,overcast,16.1,55,14.7,30,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T15:00:00.000000,overcast,16.7,52,15.0,28,Overcast,0.0,none
37.7796,-3.7849,2026-03-22T16:00:00.000000,partly_sunny,17.1,49,15.1,33,Partly sunny,0.0,none
37.7796,-3.7849,2026-03-22T17:00:00.000000,partly_sunny,17.1,49,14.8,20,Partly sunny,0.0,none
37.7796,-3.7849,2026-03-22T18:00:00.000000,partly_sunny,16.7,51,14.5,13,Partly sunny,0.0,none
37.7796,-3.7849,2026-03-22T19:00:00.000000,partly_sunny,15.8,56,13.8,0,Partly sunny,0.0,none
37.7796,-3.7849,2026-03-22T20:00:00.000000,partly_sunny,14.5,65,13.4,0,Partly sunny,0.0,none
37.7796,-3.7849,2026-03-22T21:00:00.000000,partly_sunny,13.1,73,12.0,0,Partly sunny,0.0,none
37.7796,-3.7849,2026-03-22T22:00:00.000000,partly_sunny,12.2,76,10.9,0,Partly sunny,0.0,none
37.7796,-3.7849,2026-03-22T23:00:00.000000,sunny,11.5,78,10.0,0,Sunny,0.0,none
37.7796,-3.7849,2026-03-23T00:00:00.000000,sunny,10.9,79,9.4,0,Sunny,0.0,none
37.7796,-3.7849,2026-03-23T01:00:00.000000,sunny,10.4,80,8.7,0,Sunny,0.0,none
37.7796,-3.7849,2026-03-23T02:00:00.000000,sunny,9.9,82,8.3,0,Sunny,0.0,none
37.7796,-3.7849,2026-03-23T03:00:00.000000,sunny,9.5,83,7.7,0,Sunny,0.0,none
37.7796,-3.7849,2026-03-23T04:00:00.000000,sunny,9.1,85,7.3,0,Sunny,0.0,none
37.7796,-3.7849,2026-03-23T05:00:00.000000,partly_sunny,8.8,86,7.0,0,Partly sunny,0.0,none
37.7796,-3.7849,2026-03-23T06:00:00.000000,partly_sunny,8.3,88,6.5,0,Partly sunny,0.0,none
37.7796,-3.7849,2026-03-23T07:00:00.000000,overcast,8.0,88,6.1,0,Overcast,0.0,none
