lat,lon,date,weather,temperature,humidity,apparent_temp,precip_prob,summary,precip_mm,precip_tipo
36.7213,-4.4214,2026-03-22T00:00:00.000000,overcast,13.8,80,13.2,0,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T01:00:00.000000,overcast,13.8,78,13.1,0,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T02:00:00.000000,overcast,13.7,80,13.1,0,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T03:00:00.000000,overcast,13.6,80,13.2,0,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T04:00:00.000000,overcast,13.7,78,13.3,0,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T05:00:00.000000,overcast,13.5,80,13.3,5,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T06:00:00.000000,overcast,13.6,80,13.3,23,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T07:00:00.000000,overcast,13.6,80,13.3,33,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T08:00:00.000000,overcast,13.7,81,13.4,18,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T09:00:00.000000,overcast,13.8,82,13.3,18,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T10:00:00.000000,overcast,14.6,76,13.6,5,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T11:00:00.000000,overcast,15.4,71,14.2,0,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T12:00:00.000000,overcast,15.9,66,14.3,3,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T13:00:00.000000,overcast,15.9,66,14.2,0,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T14:00:00.000000,overcast,15.7,69,14.2,0,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T15:00:00.000000,overcast,15.9,70,14.7,0,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T16:00:00.000000,overcast,16.3,70,15.4,0,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T17:00:00.000000,overcast,16.5,68,15.5,0,Overcast,0.0,none
36.7213,-4.4214,2026-03-22T18:00:00.000000,partly_sunny,16.1,73,15.5,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-22T19:00:00.000000,partly_sunny,15.2,77,14.7,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-22T20:00:00.000000,partly_sunny,14.5,81,14.3,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-22T21:00:00.000000,partly_sunny,14.1,83,14.2,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-22T22:00:00.000000,partly_sunny,13.8,84,14.0,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-22T23:00:00.000000,partly_sunny,13.4,87,13.3,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-23T00:00:00.000000,partly_sunny,12.4,93,12.2,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-23T01:00:00.000000,partly_sunny,11.9,94,11.5,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-23T02:00:00.000000,partly_sunny,11.5,93,11.0,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-23T03:00:00.000000,partly_sunny,11.3,92,10.5,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-23T04:00:00.000000,partly_sunny,11.1,92,10.3,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-23T05:00:00.000000,partly_sunny,10.8,92,9.9,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-23T06:00:00.000000,sunny,10.5,92,9.5,0,Sunny,0.0,none
36.7213,-4.4214,2026-03-23T07:00:00.000000,sunny,10.4,92,9.3,0,Sunny,0.0,none
36.7213,-4.4214,2026-03-23T08:00:00.000000,partly_sunny,10.4,91,9.4,0,Partly sunny,0.0,none
36.7213,-4.4214,2026-03-23T09:00:00.000000,partly_sunny,12.5,86,12.2,0,Partly sunny,0.0,none
